glossary,description,link
5 Whys,"
                  The 5 Whys is a proven problem-solving technique used to explore the cause-and-effect relationships underlying a particular problem as part of Inspect and Adapt.                ",
AI (Artificial Intelligence),"
                  Artificial Intelligence (AI) is a term used to describe a wide range of smart machines capable of performing tasks that typically required human intelligence. AI can be applied at all levels of SAFe to build intelligent customer solutions, automate value stream activities, and improve customer insights.                ",https://scaledagileframework.com/ai
ART Backlog,"
                  The ART Backlog is a Kanban system that is used to capture and manage the features and enablers intended to enhance the solution and extend its architectural runway.                ",https://scaledagileframework.com/art-and-solution-train-backlogs/
ART Flow,"
                  ART Flow describes a state where an ART delivers a continuous flow of valuable features to the customer.                ",https://scaledagileframework.com/art-flow/
ART Kanban,"
                  The ART Kanban system is a method to visualize and manage the flow of features from ideation to analysis, implementation, and release through the Continuous Delivery Pipeline.                ",
ART PI Risks,"
                  ART PI Risks are identified items that could impact the ability to meet the ART’s PI objectives.                ",
ART Planning Board,"
                  The ART Planning Board is a visualization of the PI's feature delivery dates, feature dependencies among teams, and relevant milestones.                ",
ART Predictability Measure,"
                  The ART Predictability Measure is an average of the achievement score for each teams on the ART for the PI.                ",
ART Sync,"
                  The ART Sync is an ART event that combines the Product Owner (PO) Sync and Coach Sync.                ",
Acceptance Criteria,"
                  Acceptance Criteria provide the information needed to ensure that a story, feature, or capability is implemented correctly and covers the relevant functionality and NFRs.                ",
Acceptance Test Driven Development (ATDD),"
                  Acceptance Test-Driven Development (ATDD) is a test-first, Agile testing practice largely synonymous with Behavior-Driven Development (BDD).                ",
Agile,"
                  Agile is a set of values, principles, and practices for iterative development most notably described by the Agile Manifesto.                ",
Agile Architecture,"
                  Agile Architecture is a set of values, practices, and collaborations that support a system's active, evolutionary design and architecture.                ",https://scaledagileframework.com/agile-architecture/
Agile Business Function,"
                  Agile Business Functions apply Lean-Agile methods and SAFe principles to streamline business operations and create transparency in value delivery.                ",
Agile Business Train,"
                  An Agile Business Train contains one or more SAFe operational value streams and all the ARTs needed to define, build, deploy, operate, and commercialize a complete business solution.                ",
Agile Executive Team,"
                  The Agile Executive Team is a construct for aligning senior leadership in the form of Agile team that exhibits the mindset, values, principles, and practices of agility.                ",
Agile Manifesto,"
                  The Agile Manifesto is the seminal Agile document describing the four values and twelve principles of Agile software development.                ",
Agile Product Delivery (APD),"
                  The Agile Product Delivery (APD) competency is a customer-centric approach to defining, building, and releasing products and services in a continuous flow of value to customers and end-users.                ",https://scaledagileframework.com/agile-product-delivery/
Agile Release Train (ART),"
                  The Agile Release Train (ART) is a long-lived team of Agile teams that incrementally develops, delivers, and often operates one or more solutions in a development value stream.                ",https://scaledagileframework.com/agile-release-train/
Agile Software Engineering,"
                  Agile Software Engineering (ASE) is the set of modern practices that reliably and predictably create quality software-centric systems. These practices originated with eXtreme Programming (XP) but have significantly evolved over the past two decades.                ",
Agile Teams,"
                  An Agile Team is a cross-functional group of typically ten or fewer individuals with all the skills necessary to define, build, test, and deliver value to their customer.                ",https://scaledagileframework.com/agile-teams/
Architect Sync,"
                  The Architect Sync is a Solution Train event to ensure consistency in how emerging designs and tradeoffs are managed across the Solution Train, allowing frequent opportunities to steer implementation approaches without becoming a source of delays.                ",
Architectural Runway,"
                  The Architectural Runway consists of the existing code, components, and technical infrastructure needed to implement near-term features with minimal redesign and delay.                ",https://scaledagileframework.com/architectural-runway/
Backlog Refinement,"
                  Backlog Refinement is a periodic activity teams use to define, discuss, estimate, and establish acceptance criteria for upcoming backlog items.                ",
Baseline Solution Investments (BSIs),"
                  Baseline Solution Investments (BSIs) are those costs incurred by each value stream as it develops, supports, and operates the solutions that deliver current business capabilities.                ",
Batch Size,"
                  Batch size is a measure of how much work is pulled into the system during any given timebox.                ",
Behavior-Driven Development (BDD),"
                  Behavior-Driven Development (BDD) is a test-first, Agile testing practice that provides built-in quality by defining (and potentially automating) tests before, or as part of, specifying system behavior.                ",
Benefit Hypothesis,"
                  The Benefit Hypothesis is the proposed measurable business or customer benefit of an epic, capability, feature, or story.                ",
Big Data,"
                  Big Data refers to the roles and practices required to collect, manage, normalize and deliver large datasets that help enterprises make more informed, fact-based decisions.                ",https://scaledagileframework.com/big-data
Built-In Quality,"
                  Built-In Quality is a set of practices to help ensure that the outputs of Agile teams in business and technology domains meet appropriate quality standards throughout the process of creating customer value.                ",https://scaledagileframework.com/built-in-quality/
Burn-Down (Burn-Up) Chart,"
                  Burn-Down and Burn-Up Charts are graphical displays that illustrate work progress versus time.                ",
Business Agility,"
                  Business Agility is the ability to compete and thrive in the digital age by quickly responding to market changes and emerging opportunities with innovative, digitally-enabled business solutions.                ",https://scaledagileframework.com/business-agility/
Business Context,"
                  Business Context is a PI Planning agenda item presented by a business owner that describes the current state of the business, shares the portfolio vision, and presents a perspective on how effectively existing solutions are addressing current customer needs.                ",
Business Owners,"
                  Business Owners (BOs) are key ART stakeholders who have the primary business and technical responsibility for return on investment (ROI), governance, and compliance.                ",https://scaledagileframework.com/business-owners/
Business and Technology,"
                  Business and Technology describes the patterns that may be applied to realize Business Agility by applying SAFe principles and practices across the enterprise.                ",https://scaledagileframework.com/business-and-technology
Business-Enabled ART,"
                  A Business-Enabled ART is an Agile Release Train that includes the technical and business people needed to ensure the solution is aware of the business in which it operates and that it addresses the relevant concerns for the technology, business, and customer.                ",
CALMR,"
                  CALMR is a DevOps mindset that guides the ART toward achieving continuous value delivery by enhancing culture, automation, lean flow, measurement, and recovery.                ",https://scaledagileframework.com/calmr
Capabilities,"
                  A Capability represents large solution functionality whose implementation often spans multiple ARTs and is sized to be delivered within a PI.                ",https://scaledagileframework.com/features-and-capabilities/
Capacity Allocation,"
                  Capacity Allocation is an allocation of work by work item type for an upcoming planning period.                ",
Cloud,"
                  The Cloud represents virtual, on-demand processing and storage services used for cost-effective and scalable infrastructure and operations, implementation of the DevOps toolchain, and development and hosting of AI applications.                ",https://scaledagileframework.com/cloud/
Coach Sync,"
                  The Coach Sync is an ART event that helps coordinate ART dependencies and provides visibility into progress and impediments.                ",
Collective Ownership,"
                  Collective Ownership is a quality practice where individual team members have the requisite skills and authority to update any relevant asset to improve value flow.                ",
Combined Portfolio,"
                  A Combined Portfolio is a type of SAFe portfolio that includes both development and operational value streams.                ",
Communities of Practice (CoPs),"
                  Communities of Practice (CoPs) are organized groups of people with a common interest in a specific technical or business domain. They regularly collaborate to share information, improve their skills, and actively work on advancing their knowledge of the domain.                ",https://scaledagileframework.com/communities-of-practice/
Compliance,"
                  Compliance refers to the strategy, activities, and artifacts that allow teams to apply Lean-Agile development methods to build systems that have the highest possible quality, while simultaneously ensuring they meet regulatory, industry, and other relevant standards.                ",https://scaledagileframework.com/compliance/
Confidence Vote,"
                  The Confidence Vote measures the teams’ and ARTs’ belief in their ability to deliver the established PI Objectives.                ",
Continuous Delivery Pipeline (CDP),"
                  The Continuous Delivery Pipeline (CDP) represents the workflows, activities, and automation needed to guide new functionality from ideation to an on-demand release of value.                ",https://scaledagileframework.com/continuous-delivery-pipeline/
Continuous Deployment (CD),"
                  Continuous Deployment (CD) is an aspect of the Continuous Delivery Pipeline that automates the migration of new functionality from a staging environment to production, where it is made available for release.                ",https://scaledagileframework.com/continuous-deployment/
Continuous Exploration (CE),"
                  Continuous Exploration (CE) is an aspect of the Continuous Delivery Pipeline that drives innovation and fosters alignment on what should be built by continually exploring the market and customer needs, defining a vision, roadmap, and set of features for a solution.                ",https://scaledagileframework.com/continuous-exploration/
Continuous Integration (CI),"
                  Continuous Integration (CI) is an aspect of the Continuous Delivery Pipeline in which new functionality is developed, tested, integrated, and validated in preparation for deployment and release.                ",https://scaledagileframework.com/continuous-integration/
Continuous Learning Culture (CLC),"
                  The Continuous Learning Culture (CLC) competency describes a set of values and practices that encourage individuals—and the enterprise as a whole—to continually increase knowledge, competence, performance, and innovation.                ",https://scaledagileframework.com/continuous-learning-culture/
Coordinate and Deliver,"
                  Coordinate and Deliver describes the practices Solution Trains use to maintain the alignment and collaboration needed to continuously deliver value to large solution customers.                ",https://scaledagileframework.com/coordinate-and-deliver/
Core Values,"
                  The four Core Values of alignment, transparency, respect for people, and relentless improvement represent the foundational beliefs that are key to SAFe’s effectiveness.                ",https://scaledagileframework.com/safe-core-values/
Cost of Delay,"
                  Cost of Delay (CoD) is the numerator in WSJF prioritization which represents the money or value that will be lost by delaying or not doing a job for a time period relative to other jobs.                ",
Customer,"
                  Customers are the ultimate beneficiaries of the value of the solutions created and maintained by a portfolio’s value streams.                ",https://scaledagileframework.com/customer-centricity/
Customer Centricity,"
                  Customer Centricity is a mindset that focuses on creating positive experiences for the customer through the full set of products and services that the enterprise offers.                ",https://scaledagileframework.com/customer-centricity/
Customer Journey Map,"
                  A Customer Journey Map captures the user’s experiences as they interact with a company’s operational value stream, products, and services.                ",
Decentralized Decision-Making,"
                  Decentralized Decision-Making empowers individuals and teams to make decisions based on their local knowledge and context.                ",
Definition of Done,"
                  The Definition of Done specifies the requirements for completeness of a work product or increment of value.                ",
Deploy,"
                  To deploy is to migrate a change from a pre-production environment to a production or operational environment, where it may or may not be released to an end-user.                ",
Design Thinking,"
                  Design Thinking is a customer-centric development process that creates desirable products that are profitable and sustainable over their lifecycle.                ",https://scaledagileframework.com/design-thinking/
DevOps,"
                  DevOps is a mindset, culture, and set of technical practices that supports the integration, automation, and collaboration needed to effectively develop and operate a solution.                ",https://scaledagileframework.com/devops/
Develop on Cadence,"
                  Develop on Cadence is a set of development events and activities that occur on a regular schedule.                ",
Development Value Streams,"
                  A Development Value Stream is the sequence of activities needed to convert a business hypothesis into a digitally-enabled solution that delivers customer value.                ",https://scaledagileframework.com/development-value-streams
Empathy Map,"
                  An Empathy Map is a design thinking tool that is used to develop a deep and shared understanding of customers.                ",
Enablers,"
                  Enablers are backlog items that extend the architectural runway of the solution under development or improve the performance of the development value stream.                ",https://scaledagileframework.com/enablers/
Enterprise,"
                  
The Enterprise represents the business entity to which each SAFe portfolio belongs.
                ",https://scaledagileframework.com/enterprise/
Enterprise Architect,"
                  The Enterprise Architect is responsible for establishing the portfolio’s technology vision, strategy, and roadmap.                ",https://scaledagileframework.com/enterprise-architect/
Enterprise Solution Delivery (ESD),"
                  The Enterprise Solution Delivery (ESD) competency describes the practices necessary to apply SAFe principles and practices to the specification, development, operation, and evolution of the world’s largest and most sophisticated software applications, networks, and cyber-physical systems.                ",https://scaledagileframework.com/enterprise-solution-delivery/
Epic Hypothesis Statement,"
                  The Epic Hypothesis Statement is a structured format used to capture, organize, and communicate critical information and assumptions about an epic.                ",
Epic Owners,"
                  The Epic Owner is responsible for coordinating epics through the portfolio Kanban system.                ",https://scaledagileframework.com/epic-owner/
Epics,"
                  An Epic is a significant solution development initiative.                ",https://scaledagileframework.com/epic/
Essential SAFe,"
                  Essential SAFe provides the minimal elements necessary for Agile Release Trains to deliver solutions and is the simplest starting point for implementation.                ",https://scaledagileframework.com/essential-safe/
Estimating Poker,"
                  Estimating Poker is a collaborative technique for relatively estimating the size of stories and features.                ",
Extreme Programming,"
                  Extreme Programming (XP) is a set of Agile software engineering practices designed to improve software quality and responsiveness to changing requirements.                ",
Features,"
                  A Feature represents solution functionality that delivers business value, fulfills a stakeholder need, and is sized to be delivered by an Agile Release Train within a PI.                ",https://scaledagileframework.com/features-and-capabilities/
Flow,"
                  Flow is a state that occurs when there is a smooth, linear, and fast movement of work product from step to step in a value stream.                ",
Flow Distribution,"
                  Flow Distribution is a measure of the proportion of work items by type in a system.                ",
Flow Efficiency,"
                  Flow Efficiency is the ratio of the total time spent in value-added work activities divided by the total flow time.                ",
Flow Load,"
                  Flow Load is a measure of the number of work items currently in progress (active or waiting).                ",
Flow Predictability,"
                  Flow Predictability is a measure of how consistently teams, ARTs, and portfolios are able to meet their commitments.                ",
Flow Time,"
                  Flow Time is a measure of the time elapsed from start to completion for a given work item.                ",
Flow Velocity,"
                  Flow Velocity measures the number of completed work items over a time period.                ",
Foundation,"
                  Anchored by the Lean-Agile leadership and continuous learning culture competencies, the SAFe foundation contains the mindset, values, principles, and implementation guidance needed to implement SAFe practices and achieve business agility.                ",
Full SAFe,"
                  Full SAFe is the most comprehensive version of the Framework and supports enterprises that build and maintain a portfolio of large and complex solutions.                ",
Gemba,"
                  Gemba, also known as Genba, is the Japanese word for ‘the real place’ where work is performed and value is created.                ",
Hackathon,"
                  Hackathons are innovation events where team members can work on whatever they want, with whomever they want, so long as the work reflects the mission of the company and they demo their work at the end.                ",
Innovation and Planning Iteration,"
                  The Innovation and Planning (IP) Iteration is a unique, dedicated iteration that occurs every PI. It provides an estimating buffer for meeting PI Objectives and dedicated time for innovation, continuing education, PI Planning, and Inspect and Adapt (I&A) events.                ",https://scaledagileframework.com/innovation-and-planning-iteration/
Inspect and Adapt,"
                  The Inspect and Adapt (I&A) is a significant event held at the end of each PI, where the current state of the Solution is demonstrated and evaluated. Teams then reflect and identify improvement backlog items via a structured problem-solving workshop.                ",https://scaledagileframework.com/inspect-and-adapt/
Integration Point,"
                  An Integration Point is a learning event that pulls various solution elements into an integrated whole that can be objectively evaluated for performance and fitness for use.                ",
Investment Horizons,"
                  Investment Horizons provides a structure for companies to analyze, understand, and allocate investments in current and future business opportunities.                ",
Iteration,"
                  Iterations are a standard, fixed-duration timebox during which Agile Teams and ARTs individually and collectively deliver incremental customer value while working towards the PI objectives.                ",https://scaledagileframework.com/iterations/
Iteration Goals,"
                  Iteration Goals are a high-level summary of the business and technical goals that an Agile Team agrees to accomplish in an Iteration.                ",
Iteration Planning,"
                  Iteration planning is a SAFe Scrum event where all team members determine how much of the Team Backlog they can commit to delivering during an upcoming Iteration. The team summarizes this work as a set of committed iteration goals.                ",https://scaledagileframework.com/iteration-planning/
Iteration Retrospective,"
                  The Iteration Retrospective is a regular event where the team members discuss the results of the iteration, review their practices, and identify ways to improve.                ",https://scaledagileframework.com/iteration-retrospective/
Iteration Review,"
                  The Iteration Review is a regular SAFe Scrum event where the team inspects the iteration increment, assesses progress, and adjusts the team backlog.                ",https://scaledagileframework.com/iteration-review/
Large Solution SAFe,"
                  Large Solution SAFe is for enterprises building large and complex solutions that do not require portfolio concerns.                ",https://scaledagileframework.com/large-solution/
Lean,"
                  Lean is a body of knowledge and a set of practices designed to improve the efficiency and effectiveness of value delivery by reducing delays and eliminating non-value-added activities.                ",
Lean Budget Guardrails,"
                  Lean Budget Guardrails describe the policies and practices for budgeting, spending, and governance for a specific portfolio.                ",https://scaledagileframework.com/guardrails/
Lean Budgets,"
                  Lean Budgets is a financial governance approach that funds value streams instead of projects, accelerating value delivery and reducing the overhead and costs associated with traditional project cost accounting.                ",https://scaledagileframework.com/lean-budgets/
Lean Business Case (LBC),"
                  A Lean Business Case (LBC) is a structured format for describing epics, their MVPs, and projected business value.                ",
Lean Governance,"
                  Lean Governance is the dimension of Lean Portfolio Management that supports oversight of spending, audit, compliance, expenditure, measurement, and reporting.                ",
